,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_buffer_size,params_gamma,params_learning_rate,params_net_arch,params_noise_std,params_noise_type,params_tau,params_train_freq,state
78,78,3274.18701171875,2022-11-13 04:34:21.982273,2022-11-13 05:01:42.422854,0 days 00:27:20.440581,<class 'torch.nn.modules.activation.ELU'>,1024,100000,0.99,0.00020255256954598012,big,0.030392741497211495,ornstein-uhlenbeck,0.05,4,PRUNED
79,79,4053.927734375,2022-11-13 05:01:42.422854,2022-11-13 06:28:03.126356,0 days 01:26:20.703502,<class 'torch.nn.modules.activation.LeakyReLU'>,64,100000,0.95,0.0005125727830086931,medium,0.10812477974181021,normal,0.02,32,COMPLETE
80,80,3830.40966796875,2022-11-13 06:28:03.126356,2022-11-13 07:55:05.731781,0 days 01:27:02.605425,<class 'torch.nn.modules.activation.LeakyReLU'>,64,10000,0.95,0.0005246678724190856,medium,0.711131816676241,normal,0.02,32,COMPLETE
81,81,3386.7041015625,2022-11-13 07:55:05.733816,2022-11-13 08:09:28.298622,0 days 00:14:22.564806,<class 'torch.nn.modules.activation.LeakyReLU'>,64,100000,0.95,0.0011414255468863502,medium,0.1035384220609955,normal,0.02,32,PRUNED
82,82,2308.573486328125,2022-11-13 08:09:28.306678,2022-11-13 09:36:14.982542,0 days 01:26:46.675864,<class 'torch.nn.modules.activation.LeakyReLU'>,64,100000,0.95,0.0008014974211765008,medium,0.18041802225842393,normal,0.02,32,COMPLETE
83,83,4132.4833984375,2022-11-13 09:36:14.982542,2022-11-13 11:05:09.101943,0 days 01:28:54.119401,<class 'torch.nn.modules.activation.LeakyReLU'>,128,100000,0.95,0.0015359056966321564,medium,0.08150571828623845,normal,0.02,4,COMPLETE
84,84,782.8626098632812,2022-11-13 11:05:09.101943,2022-11-13 11:20:12.167576,0 days 00:15:03.065633,<class 'torch.nn.modules.activation.LeakyReLU'>,128,100000,0.95,0.001489513760032211,medium,0.12011534906063323,normal,0.02,32,PRUNED
85,85,1449.5445556640625,2022-11-13 11:20:12.169609,2022-11-13 12:48:52.267389,0 days 01:28:40.097780,<class 'torch.nn.modules.activation.LeakyReLU'>,128,100000,0.95,0.00029732309453510414,medium,0.549570513841548,normal,0.02,4,COMPLETE
86,86,2797.177001953125,2022-11-13 12:48:52.269420,2022-11-13 13:03:03.926697,0 days 00:14:11.657277,<class 'torch.nn.modules.activation.LeakyReLU'>,16,100000,0.95,0.0004072972564880334,medium,0.04572378875508596,normal,0.02,8,PRUNED
87,87,926.52490234375,2022-11-13 13:03:03.926697,2022-11-13 13:17:45.692764,0 days 00:14:41.766067,<class 'torch.nn.modules.activation.LeakyReLU'>,128,100000,0.95,0.0008046310056175349,medium,0.02464718531591493,normal,0.02,128,PRUNED
88,88,-6633.0634765625,2022-11-13 13:17:45.692764,2022-11-13 13:31:45.022571,0 days 00:13:59.329807,<class 'torch.nn.modules.activation.LeakyReLU'>,64,1000000,0.995,0.000603579660898283,small,0.271022725689734,normal,0.02,4,PRUNED
89,89,-5381.5439453125,2022-11-13 13:31:45.022571,2022-11-13 13:46:33.920384,0 days 00:14:48.897813,<class 'torch.nn.modules.activation.ReLU'>,128,100000,0.999,0.0017300709636682524,medium,0.211932879551615,,0.01,16,PRUNED
90,90,3258.57763671875,2022-11-13 13:46:33.928424,2022-11-13 14:02:33.296329,0 days 00:15:59.367905,<class 'torch.nn.modules.activation.LeakyReLU'>,512,100000,0.98,0.0024915611850292937,medium,0.0729658016569471,normal,0.08,256,PRUNED
91,91,-4228.400390625,2022-11-13 14:02:33.296329,2022-11-13 14:24:28.595225,0 days 00:21:55.298896,<class 'torch.nn.modules.activation.ELU'>,1024,100000,0.99,0.00351926958358035,medium,0.07480557025425788,ornstein-uhlenbeck,0.05,4,PRUNED
92,92,3948.615234375,2022-11-13 14:24:28.595225,2022-11-13 17:03:43.154733,0 days 02:39:14.559508,<class 'torch.nn.modules.activation.ELU'>,1024,100000,0.99,0.0047088281225236665,medium,0.09572163484125373,,0.05,4,COMPLETE
93,93,778.6875,2022-11-13 17:03:43.154733,2022-11-13 17:22:43.652717,0 days 00:19:00.497984,<class 'torch.nn.modules.activation.LeakyReLU'>,1024,100000,0.99,0.00797093834154535,medium,0.10489931188055729,,0.05,4,PRUNED
94,94,781.542236328125,2022-11-13 17:22:43.652717,2022-11-13 17:37:29.654838,0 days 00:14:46.002121,<class 'torch.nn.modules.activation.ELU'>,100,100000,0.9,0.0013160078589788844,medium,0.1516747103101273,,0.001,4,PRUNED
95,95,1204.508544921875,2022-11-13 17:37:29.662884,2022-11-13 17:55:40.563230,0 days 00:18:10.900346,<class 'torch.nn.modules.activation.Tanh'>,1024,100000,0.95,0.00016520863549518048,medium,0.3810595897236018,,0.05,1,PRUNED
96,96,489.6488037109375,2022-11-13 17:55:40.571283,2022-11-13 18:29:40.848159,0 days 00:34:00.276876,<class 'torch.nn.modules.activation.ELU'>,2048,100000,0.99,0.013346418387737022,medium,0.015875683617802255,normal,0.05,4,PRUNED
97,97,-2341.64111328125,2022-11-13 18:29:40.856197,2022-11-13 18:55:52.296921,0 days 00:26:11.440724,<class 'torch.nn.modules.activation.ELU'>,1024,10000,0.99,0.00027718604559347465,big,0.05551660593954112,,0.005,4,PRUNED
98,98,759.9150390625,2022-11-13 18:55:52.296921,2022-11-13 19:14:50.606219,0 days 00:18:58.309298,<class 'torch.nn.modules.activation.LeakyReLU'>,1024,100000,0.9999,0.004053900346926318,medium,0.0005278912364040599,,0.02,64,PRUNED
99,99,2785.970947265625,2022-11-13 19:14:50.614291,2022-11-13 19:29:22.223772,0 days 00:14:31.609481,<class 'torch.nn.modules.activation.ELU'>,32,100000,0.95,0.005726436601523903,medium,0.19395849892829803,,0.05,4,PRUNED
